Gene ID,Gene Name,proliferating embryo Ce,elongating embryo Ce,fully-elongated embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,newly molted young adult hermaphrodite Ce,adult Ce,L2d-dauer molt Ce,dauer larva Ce,post dauer stage Ce
WBGene00016557,ceh-84,,,0.3,0.1,,,,,,,,
WBGene00016558,C41A3.1,1,0.6,2,0.7,0.5,0.5,0.7,1,0.4,0.3,0.5,0.4
WBGene00016559,C41A3.2,0.4,0.8,4,4,2,5,2,3,1,3,4,3
WBGene00016560,C41D7.1,0.2,,0.1,9,,,,,0.2,0.1,0.5,
WBGene00016561,eri-6,3,4,4,4,4,3,2,3,2,5,8,3
WBGene00016562,C41D11.3,24,27,20,27,15,15,5,20,27,18,15,11
WBGene00016564,C41D11.5,99,35,25,3,10,13,9,61,50,10,16,11
WBGene00016565,C41D11.6,1,2,1,3,2,1,0.5,0.8,1,3,5,1
WBGene00016566,eri-7,11,14,6,4,4,6,2,16,10,9,15,5
WBGene00016567,C41D11.9,20,14,7,2,3,4,3,11,17,5,6,5
WBGene00016568,C41G11.1,0.4,0.4,12,2,3,2,2,10,14,8,3,2
WBGene00016570,gnrr-4,0.2,0.3,4,12,6,2,1,2,1,8,8,7
WBGene00016571,C41H7.1,1,0.4,0.6,1,2,3,2,2,0.9,2,2,2
WBGene00016572,C41H7.2,2,0.4,0.7,1,0.7,3,1,1,0.6,0.6,1,1
WBGene00016573,C41H7.3,84,11,14,4,5,7,6,9,38,4,2,3
WBGene00016574,C41H7.4,37,16,23,8,5,6,7,4,14,3,2,3
WBGene00016575,C41H7.5,9,13,14,15,5,2,4,3,6,3,5,7
WBGene00016576,C41H7.6,94,47,31,14,9,9,8,11,37,5,3,3
WBGene00016577,clec-3,0.1,,0.9,2,0.4,0.3,1,1,0.1,,0.1,0.9
WBGene00016578,sdz-5,24,1,3,0.2,0.2,0.3,0.5,0.3,2,0.2,,
WBGene00016579,sre-14,0.3,0.6,2,1,1,0.3,0.6,0.2,,1,3,1
WBGene00016580,C42C1.2,2,3,9,5,2,0.6,1,0.6,0.4,3,2,2
WBGene00016581,C42C1.3,0.6,,0.4,,,2,1,2,0.2,,0.1,0.1
WBGene00016582,C42C1.4,6,13,8,6,11,13,4,15,12,9,11,9
WBGene00016583,tag-335,25,73,46,19,38,54,28,31,23,25,20,18
WBGene00016585,oac-59,0.9,2,5,2,7,6,3,5,2,4,2,4
WBGene00016586,C42C1.8,30,3,8,0.2,2,8,9,39,48,6,11,7
WBGene00016587,C42C1.9,2,0.2,0.5,,0.5,3,8,9,4,3,2,3
WBGene00016588,hpo-12,18,19,13,6,13,19,11,18,18,12,12,10
WBGene00016589,C42C1.11,8,17,9,11,14,19,12,24,23,26,38,27
WBGene00016590,C42C1.12,41,34,13,0.3,12,10,7,13,12,10,12,9
WBGene00016591,C42C1.13,10,9,5,5,6,9,5,15,10,10,14,11
WBGene00016592,erl-1,12,9,7,4,8,11,6,20,16,11,15,10
WBGene00016594,C42D4.1,0.3,1,26,87,104,165,78,182,182,65,44,58
WBGene00016595,C42D4.2,3,12,2,0.4,2,2,4,4,0.7,3,2,2
WBGene00016596,C42D4.3,0.1,,32,4,35,61,68,13,2,42,2,0.7
WBGene00016597,clec-179,,,0.5,0.1,,,,,,,,
WBGene00016598,C42D4.13,0.3,4,35,0.4,8,2,10,2,0.2,8,0.5,0.1
WBGene00016599,C42D8.1,2,16,36,20,18,26,17,5,6,23,22,20
WBGene00016600,ets-5,0.4,2,7,3,1,0.2,0.9,0.6,0.4,2,2,2
WBGene00016601,acin-1,54,38,22,27,18,20,6,25,38,17,25,23
WBGene00016602,mus-81,21,11,9,11,11,11,5,22,19,10,13,9
WBGene00016603,met-1,24,39,25,32,15,11,3,19,29,13,15,10
WBGene00016605,C43E11.5,0.3,2,2,0.7,,3,2,3,2,0.3,0.8,0.2
WBGene00016606,exoc-7,20,32,23,14,16,19,8,20,19,18,16,12
WBGene00016607,C43E11.9,32,61,22,3,29,49,37,52,51,42,34,46
WBGene00016608,cogc-5,23,26,23,12,29,26,14,29,34,15,18,14
WBGene00016609,C43E11.12,57,32,18,15,10,12,11,30,40,13,13,11
WBGene00016610,paqr-1,32,30,27,257,42,39,22,51,64,75,108,69
WBGene00016611,bicd-1,6,97,76,29,33,29,13,12,6,24,21,20
WBGene00016612,C43G2.3,,0.5,,0.2,0.2,1,6,10,2,0.3,0.4,0.6
WBGene00016613,best-9,1,5,4,10,3,3,1,1,0.4,2,2,2
WBGene00016614,trpp-12,6,36,25,19,15,12,11,9,4,8,9,7
WBGene00016616,C43H6.3,31,42,54,10,27,21,14,11,13,32,25,28
WBGene00016617,C43H6.4,21,72,22,9,9,6,3,3,3,7,9,7
WBGene00016619,C43H6.6,2,9,12,4,3,0.4,0.5,0.3,0.1,1,1,1
WBGene00016620,dhhc-9,16,52,19,8,11,10,4,6,4,7,4,8
WBGene00016621,C43H8.1,36,36,11,6,16,15,13,14,14,33,61,44
WBGene00016622,mafr-1,37,53,27,38,20,17,8,21,27,33,26,26
WBGene00016623,psmd-9,45,49,18,2,14,21,20,36,25,27,29,27
WBGene00016624,C44B7.2,21,37,20,19,12,17,6,16,21,13,19,16
WBGene00016625,aff-1,2,21,15,2,2,13,1,1,0.2,2,1,0.5
WBGene00016626,clhm-1,0.8,9,17,7,8,7,3,2,0.6,5,3,3
WBGene00016627,C44B7.5,,1,2,0.8,0.1,0.7,11,109,219,0.3,1,0.1
WBGene00016628,C44B7.6,0.1,0.4,15,13,3,4,0.7,0.9,0.9,70,54,44
WBGene00016629,C44B7.7,5,27,24,4,21,31,20,15,3,10,7,8
WBGene00016630,C44B7.10,94,16,52,167,315,338,123,194,216,133,157,121
WBGene00016631,C44B7.11,5,22,19,9,24,25,8,15,5,11,8,8
WBGene00016632,C44B7.12,33,9,12,7,3,7,9,51,36,7,9,7
WBGene00016633,C44B11.1,2,9,15,2,3,0.3,0.5,,0.2,4,4,4
WBGene00016634,C44B11.4,0.7,0.2,4,8,33,8,11,3,7,69,95,88
WBGene00016635,C44B11.6,1,23,23,4,25,41,20,15,12,141,96,71
WBGene00016636,perm-2,0.1,,0.3,,,4,73,353,1553,0.5,2,0.3
WBGene00016637,C44B12.3,,2,1,2,0.1,0.6,0.7,0.7,1,0.6,0.5,1
WBGene00016638,perm-4,0.7,,0.3,0.1,,3,47,290,1738,0.3,1,0.7
WBGene00016639,C44B12.6,2,0.3,1,2,1,1,1,1,3,3,3,2
WBGene00016641,C44C1.1,18,266,47,3,36,52,19,22,10,51,8,14
WBGene00016642,chil-10,15,38,23,12,20,18,10,10,13,18,12,14
WBGene00016643,vps-45,14,24,22,11,13,11,7,8,7,10,8,10
WBGene00016644,C44C1.5,,,0.8,2,13,41,9,25,9,2,0.8,4
WBGene00016645,C44C1.6,,0.5,1,17,5,3,1,3,0.8,,,
WBGene00016650,C44E4.1,6,24,17,11,16,15,4,14,14,17,18,11
WBGene00016652,got-2.1,29,10,13,4,9,35,13,64,42,21,25,17
WBGene00016653,C44E4.4,237,128,81,22,94,127,57,147,139,59,57,88
WBGene00016654,C44E4.5,19,10,8,5,11,12,6,22,12,12,15,12
WBGene00016655,acbp-1,226,97,130,43,506,404,586,333,252,287,140,113
WBGene00016657,C44E12.1,3,52,16,13,22,12,5,6,4,27,14,8
WBGene00016658,C45B2.1,,,,0.3,0.1,4,56,370,100,2,0.6,0.8
WBGene00016659,C45B2.2,,0.8,20,4,61,183,101,27,5,5,1,13
WBGene00016660,C45B2.3,,,,1,0.1,2,9,2,0.8,,,0.4
WBGene00016661,C45B2.6,5,15,12,17,11,9,2,5,5,11,10,9
WBGene00016662,C45B2.8,,,,0.5,2,0.8,12,2,0.2,,,
WBGene00016663,C45E1.4,3,2,5,102,10,6,4,3,2,21,45,26
WBGene00016664,C45E5.1,2,5,3,0.6,6,22,4,7,0.8,0.7,0.1,3
WBGene00016665,chil-11,0.3,0.1,0.3,0.4,0.4,0.6,1,0.3,0.2,0.1,0.4,0.4
WBGene00016667,C45E5.4,0.4,,0.8,4,5,14,2,5,1,7,5,8
WBGene00016668,ilys-1,0.1,0.7,0.4,,,,,,,,,
WBGene00016669,ilys-2,,,0.4,0.2,0.9,2,0.6,1,63,11,3,1
WBGene00016670,ilys-3,,,0.5,0.2,0.6,0.8,0.5,0.2,41,419,160,37
WBGene00016671,C45G7.4,14,11,11,6,5,4,1,0.4,1,4,2,3
WBGene00016673,C45G9.1,,,0.5,,,,,0.2,,,,
WBGene00016674,C45G9.2,21,16,9,3,7,9,4,19,18,7,11,10
WBGene00016675,C45G9.4,,,,,,0.9,0.7,0.9,0.1,,,
WBGene00016676,C45G9.5,15,50,30,5,16,33,16,43,15,16,14,14
WBGene00016677,C45G9.6,0.3,0.9,7,17,12,10,3,4,3,6,6,3
WBGene00016678,C45G9.7,39,94,25,12,6,8,4,8,10,7,9,6
WBGene00016679,C45G9.8,,,2,3,5,8,3,4,3,15,17,14
WBGene00016680,C45G9.9,,,,,,1,2,5,1,,,
WBGene00016681,C45G9.10,,,0.2,,,,0.3,0.2,0.1,,0.1,
WBGene00016682,C45G9.11,0.6,0.2,3,3,2,1,0.9,0.4,0.3,3,4,3
WBGene00016683,C45G9.12,0.1,,0.5,1,3,65,3,14,2,6,1,1
WBGene00016684,C45G9.13,0.3,5,7,40,24,9,5,3,2,83,79,99
WBGene00016685,srbc-16,0.1,,0.1,2,,,,,,0.9,2,0.9
WBGene00016686,cyp-33C1,,,0.2,3,,,0.1,,,3,5,2
WBGene00016687,srbc-17,,,0.3,0.2,0.1,,,,,0.5,0.7,0.1
WBGene00016688,srbc-18,,,,0.1,,,,,,,,
WBGene00016689,srbc-21,,,,,,,,,,0.6,1,0.2
WBGene00016690,srbc-22,,,,,,,,,,0.4,1,0.5
WBGene00016691,srbc-23,0.1,,,,,,,,,1,0.8,0.2
WBGene00016692,srbc-24,0.7,,0.4,1,,,,,0.1,3,4,2
WBGene00016693,srbc-20,0.1,,,3,,,,,,3,4,0.9
WBGene00016694,C45H4.13,0.3,,0.4,1,,,0.1,,,4,3,0.7
WBGene00016695,C45H4.14,34,1,3,0.1,,,,3,13,,,
WBGene00016696,srbc-19,0.1,,0.2,0.2,,,,,,0.3,0.3,0.1
WBGene00016697,cyp-33C2,0.8,0.2,0.3,2,0.2,0.2,0.5,0.4,0.4,47,8,5
WBGene00016698,C46A5.1,0.6,0.1,0.7,0.3,,0.7,1,5,0.7,0.4,0.5,0.4
WBGene00016699,del-7,0.8,0.5,7,0.3,0.5,0.3,0.3,0.5,,1,0.8,0.5
WBGene00016700,C46A5.4,1,0.8,80,0.3,0.8,0.3,0.5,0.4,0.1,12,2,0.3
WBGene00016701,C46A5.5,4,1,3,1,2,5,4,15,6,5,6,3
WBGene00016702,C46A5.6,29,5,9,4,6,22,12,40,26,25,42,28
WBGene00016703,C46A5.8,2,8,7,2,2,2,1,3,0.6,6,7,4
WBGene00016704,hosl-1,13,22,15,18,12,7,3,4,7,5,3,4
WBGene00016705,C46C11.2,2,4,3,7,7,9,5,7,3,7,7,8
WBGene00016706,C46C11.3,3,40,46,38,15,12,6,4,3,27,20,19
WBGene00016707,C46E10.1,0.2,,,,,2,5,7,2,,,
WBGene00016708,C46E10.2,,,0.1,,0.3,,,,,,,
WBGene00016709,C46E10.3,,,,,,,,,,,,
WBGene00016710,fbxc-52,46,24,15,4,7,8,3,5,12,5,5,5
WBGene00016711,fbxc-53,0.8,10,10,0.5,0.6,0.2,0.1,,,0.3,0.1,0.4
WBGene00016712,C46E10.8,0.6,,,0.1,,0.1,0.4,2,2,,,
WBGene00016713,C46E10.9,2,,0.3,,,,0.1,2,2,,,
WBGene00016714,C46F2.1,2,5,4,3,7,16,16,7,1,5,4,7
WBGene00016716,acs-17,5,16,41,101,23,13,4,7,10,149,85,102
WBGene00016717,math-22,,,1,2,6,13,8,8,1,7,9,8
WBGene00016718,math-23,,,,0.1,,0.1,0.2,0.2,,,0.1,
WBGene00016719,math-24,0.5,5,4,2,3,6,4,4,0.8,8,13,8
WBGene00016720,math-25,,,0.1,0.1,,0.1,0.1,,,,0.1,0.3
WBGene00016722,C46G7.2,3,24,61,68,88,150,96,87,34,116,17,11
WBGene00016724,C46H3.1,0.3,0.2,1,3,1,0.6,0.4,0.2,,,0.2,0.1
WBGene00016725,C46H3.2,33,41,28,9,9,6,2,3,10,4,3,3
WBGene00016726,C46H3.3,1,11,6,1,2,4,0.7,,,0.4,0.6,0.4
WBGene00016727,C46H11.1,,,0.8,9,2,,,,,,0.2,0.4
WBGene00016728,C46H11.2,4,3,5,6,11,19,8,6,3,16,11,10
WBGene00016729,C46H11.3,,,2,3,0.5,0.3,1,0.6,0.1,5,7,2
WBGene00016730,C46H11.6,,0.1,0.5,0.3,0.6,0.9,1,3,0.4,0.1,0.2,
WBGene00016731,C46H11.7,1,0.4,35,0.1,20,4,6,0.3,0.4,2,0.4,0.5
WBGene00016732,phat-1,2,0.8,44,0.2,31,7,4,0.7,0.4,2,,
WBGene00016733,phat-2,6,1,96,0.3,52,15,9,4,2,14,0.7,0.4
WBGene00016734,C46H11.10,2,10,25,48,9,3,1,1,0.4,33,42,20
WBGene00016735,fhod-1,11,64,86,13,15,14,5,3,4,20,16,10
WBGene00016736,C47C12.2,0.1,1,3,1,,,0.1,,,0.1,0.3,0.4
WBGene00016737,miro-2,,,0.1,0.1,,0.1,0.1,0.1,,,,
WBGene00016738,C47D2.1,0.8,1,8,42,13,3,4,1,2,21,37,41
WBGene00016739,pitr-1,29,28,73,249,69,82,14,49,82,54,71,59
WBGene00016740,C48B6.2,36,46,25,10,16,24,14,32,21,34,28,31
WBGene00016741,C48B6.3,50,23,20,15,7,10,10,36,40,16,19,12
WBGene00016742,C48B6.4,,,0.4,5,0.5,1,2,4,0.6,,,
WBGene00016743,srb-15,0.3,0.3,0.9,0.1,0.2,0.2,0.2,,0.1,0.8,0.1,0.1
WBGene00016744,bbs-9,1,13,13,4,2,0.9,0.6,0.4,0.1,2,3,2
WBGene00016745,C48B6.9,33,31,17,7,2,2,2,5,8,3,3,2
WBGene00016746,C48B6.10,212,510,291,12,267,429,605,245,311,243,115,111
WBGene00016747,nmur-1,0.2,,1,9,3,0.9,0.6,0.7,0.2,2,2,2
WBGene00016748,aexr-3,0.2,,2,14,3,0.8,0.8,0.6,0.1,3,3,3
WBGene00016749,C48E7.1,64,920,303,157,214,192,47,71,35,359,53,27
WBGene00016750,C48E7.2,16,17,12,13,13,16,7,30,20,32,43,40
WBGene00016751,C48E7.6,1,18,19,4,7,4,1,1,0.6,4,4,3
WBGene00016752,C48E7.7,,,,,,0.4,,2,0.6,,,
WBGene00016753,oac-9,0.7,,0.2,0.1,,0.6,0.8,4,0.5,,0.1,
WBGene00016754,cebp-2,28,98,36,22,22,21,15,33,29,24,16,17
WBGene00016755,C49A9.1,,,0.8,2,2,2,1,1,0.1,1,0.9,3
WBGene00016756,C49A9.2,,0.6,2,2,5,15,7,10,3,13,7,7
WBGene00016757,C49A9.3,,,1,4,8,14,2,3,0.3,2,1,3
WBGene00016758,C49A9.4,0.2,,2,7,5,10,3,4,1,1,1,3
WBGene00016759,C49A9.5,0.2,1,13,10,7,14,2,4,0.7,2,6,6
WBGene00016760,C49A9.6,0.8,18,18,37,10,14,4,8,2,10,15,12
WBGene00016761,tkr-2,0.7,,2,5,2,0.5,0.6,0.3,,2,2,1
WBGene00016762,ugt-24,0.8,3,6,4,3,3,1,1,0.7,18,20,10
WBGene00016763,C49A9.9,0.3,0.6,10,11,10,24,3,11,2,5,9,7
WBGene00016764,C49A9.10,20,21,9,0.7,7,11,8,31,15,9,9,8
WBGene00016765,C49C8.1,,,0.3,0.3,,3,2,2,2,0.1,0.1,0.1
WBGene00016766,C49C8.2,0.5,4,5,11,4,3,1,2,0.8,9,7,6
WBGene00016767,C49C8.3,3,2,2,0.5,0.3,1,0.8,4,2,3,5,3
WBGene00016768,cyp-33E1,0.5,3,4,18,8,8,1,4,2,7,12,13
WBGene00016769,C49C8.5,0.3,2,24,19,44,88,27,23,8,9,4,10
WBGene00016770,C49C8.6,,0.7,0.9,,0.1,0.1,0.1,0.2,,0.6,0.1,0.1
WBGene00016772,nhr-166,,,0.4,0.4,0.5,0.1,0.2,,,,0.1,
WBGene00016773,oac-10,,,0.1,,0.1,0.1,1,0.2,,,,
WBGene00016775,C49D10.7,,,,,,,,,,,,
WBGene00016776,oac-11,,,0.2,,,,,,,,,
WBGene00016777,nhr-261,,,0.1,,,,,,,,,
WBGene00016778,nep-3,0.3,,,,,0.2,1,0.2,0.2,,,
WBGene00016779,sdz-7,6,,0.6,,,,,0.2,2,,,
WBGene00016780,C49G7.1,0.1,,0.1,0.1,0.5,2,1,0.8,0.1,0.4,0.8,0.3
WBGene00016781,C49G7.3,0.1,,2,165,375,185,59,31,76,13,6,3
WBGene00016782,phat-3,,,0.3,4,19,14,4,3,8,0.7,0.9,0.5
WBGene00016783,irg-2,,,2,9,1,0.7,1,0.9,2,8,12,5
WBGene00016784,C49G7.6,,,,0.3,,,,,,,,
WBGene00016785,C49G7.7,0.4,,0.6,2,0.1,0.2,0.2,0.3,0.2,0.2,,
WBGene00016786,cyp-35A4,0.3,0.7,5,1,4,7,2,2,0.4,,,
WBGene00016788,C49G7.10,0.1,0.1,5,7,2,4,3,3,4,5,10,3
WBGene00016789,djr-1.2,,0.5,0.5,0.1,1,0.4,0.8,0.3,0.5,66,128,51
WBGene00016790,C49H3.3,174,351,130,24,118,137,102,148,152,151,93,227
WBGene00016791,C49H3.4,7,14,7,3,3,5,3,12,4,6,11,7
WBGene00016792,C49H3.6,18,30,20,38,10,6,3,14,22,9,10,8
WBGene00016793,arp-11,20,31,14,11,18,23,9,35,16,14,15,12
WBGene00016794,C49H3.9,68,70,39,40,18,20,8,22,32,18,18,14
WBGene00016795,C49H3.12,0.3,0.1,4,3,2,3,2,2,1,7,1,1
WBGene00016796,cec-2,12,0.9,3,19,2,2,2,8,16,2,3,2
WBGene00016797,C50A2.3,0.5,,1,4,2,3,3,3,3,19,17,10
WBGene00016798,ets-8,3,,0.3,,,,,,,,,
WBGene00016799,C50C3.1,19,4,7,2,2,7,6,24,20,3,6,3
WBGene00016800,C50C3.2,0.2,0.1,0.3,0.2,,3,1,1,0.2,0.1,0.2,0.1
WBGene00016801,C50C3.5,0.3,0.2,5,13,16,6,5,3,1,48,55,30
WBGene00016803,bath-42,185,92,70,94,30,40,26,111,133,74,75,57
WBGene00016804,C50C3.12,,,,0.6,0.1,,,,,0.1,0.2,
WBGene00016805,C50D2.1,2,1,83,3,32,5,7,1,0.4,0.9,0.3,
WBGene00016806,C50D2.2,0.7,2,19,12,7,4,2,1,0.4,8,4,3
WBGene00016807,C50D2.3,,,0.9,0.1,0.1,3,5,6,2,0.5,0.1,0.1
WBGene00016808,C50D2.5,89,112,33,4,24,26,22,43,37,30,29,34
WBGene00016809,C50D2.6,2,9,12,20,5,2,1,1,1,5,8,5
WBGene00016810,C50D2.7,18,41,24,30,26,23,11,19,22,38,29,28
WBGene00016811,C50D2.8,27,18,11,10,9,6,4,19,25,9,12,10
WBGene00016812,C50D2.9,7,10,7,6,12,16,10,20,17,12,18,15
WBGene00016813,clec-214,,,,,,,,0.2,,,,
WBGene00016814,C50E3.2,,,,,,,,,,,0.1,
WBGene00016815,clec-213,,,,,,,,,,0.2,0.3,
WBGene00016816,C50E3.5,17,7,8,11,8,9,5,21,30,9,12,7
WBGene00016817,C50E3.6,2,3,10,9,10,20,5,1,2,11,11,7
WBGene00016818,C50E3.7,,0.1,0.8,0.3,0.2,,0.1,,,,,0.1
WBGene00016819,C50E3.8,,,0.1,,,,,,,,,
WBGene00016820,C50E3.9,,0.6,0.2,0.9,0.3,,,,,,,0.1
WBGene00016821,scl-26,,,0.7,0.4,,,,,,2,0.7,0.2
WBGene00016822,C50E3.11,4,0.8,2,,,,1,14,18,,0.2,
WBGene00016823,C50E3.12,8,0.6,2,,,,0.3,8,21,0.1,,
WBGene00016824,C50E3.13,9,0.7,2,,,,0.2,6,13,0.1,,
WBGene00016825,C50E10.1,0.3,,,,,8,28,21,7,,,
WBGene00016826,C50E10.2,0.1,,0.3,,,1,4,2,0.9,,0.1,
WBGene00016827,sre-53,0.1,,,0.6,,0.1,,,,,0.1,
WBGene00016828,sre-52,0.2,,0.4,0.1,,,0.2,,0.1,0.3,0.4,0.4
WBGene00016829,sre-54,0.7,,0.2,,,,,,,,0.2,0.3
WBGene00016830,sre-55,,,0.1,0.2,,,,,0.1,0.9,0.9,0.7
WBGene00016831,sre-56,,,,0.4,,,,,,0.1,0.3,0.1
WBGene00016832,sre-49,0.1,,0.2,0.4,,,,,,,0.4,0.4
WBGene00016833,sre-51,0.1,,0.2,0.6,,,0.1,,,0.1,0.3,0.2
WBGene00016834,sre-50,0.3,,0.6,,,0.2,0.1,0.1,,,,
WBGene00016835,C50F2.1,1,0.2,0.5,0.8,0.3,0.1,0.1,,0.2,0.3,0.3,0.1
WBGene00016836,C50F2.2,17,11,8,10,6,5,2,12,24,5,8,4
WBGene00016837,C50F2.3,42,38,22,11,22,30,12,37,42,14,18,19
WBGene00016838,C50F2.4,9,14,30,41,20,8,6,8,6,51,16,18
WBGene00016839,C50F2.5,0.1,,0.2,0.1,,3,2,3,1,,,
WBGene00016840,C50F2.7,2,2,13,14,10,6,2,2,1,8,7,4
WBGene00016841,magu-3,6,74,65,11,15,2,1,1,2,5,4,3
WBGene00016842,npr-35,1,0.5,4,2,2,0.6,0.6,0.8,0.3,3,3,2
WBGene00016843,C50F7.3,,,0.2,,,0.8,3,3,0.7,,,
WBGene00016844,sucg-1,18,27,24,10,36,56,25,77,47,22,20,21
WBGene00016845,C50F7.5,,,0.8,58,13,18,2,3,46,20,14,10
WBGene00016846,C50F7.6,4,8,12,10,8,7,3,4,3,20,12,6
WBGene00016847,C50F7.9,0.3,2,2,0.1,0.1,0.4,1,0.4,0.1,,0.1,
WBGene00016848,klo-1,1,16,5,23,23,27,7,9,4,17,15,9
WBGene00016849,acs-21,1,5,5,7,4,3,2,2,2,56,65,23
WBGene00016850,srt-8,,,0.3,0.2,,,,,,0.5,0.4,0.5
WBGene00016851,srt-71,,,0.4,,,,,,,0.5,0.6,0.1
WBGene00016852,srt-7,,,,0.7,0.4,0.5,0.4,0.2,,0.8,2,0.7
WBGene00016855,C50H11.8,,0.1,0.5,3,2,0.7,0.5,0.1,0.1,0.8,0.6,2
WBGene00016856,srt-15,,,0.1,0.2,,,,,,1,1,1
WBGene00016857,srt-16,,,0.1,0.1,,,,,,,0.1,
WBGene00016858,C50H11.13,,,0.4,0.5,0.4,0.2,0.2,,,2,2,1
WBGene00016859,srt-5,,,0.3,0.1,,,,,,0.7,0.9,0.8
WBGene00016860,cyp-33C9,0.8,0.7,3,13,11,9,3,6,5,5,4,5
WBGene00016861,C50H11.17,,,0.3,0.1,,,0.1,,,0.5,0.1,0.2
WBGene00016862,C52A10.1,1,0.1,5,16,11,17,18,11,7,9,8,7
WBGene00016863,C52A10.2,2,2,8,2,3,1,0.9,0.4,0.4,10,7,3
WBGene00016864,C52A10.3,6,4,2,0.2,,,0.1,0.7,0.7,,0.1,
WBGene00016865,ets-9,0.7,13,16,12,6,6,4,3,1,8,5,9
WBGene00016866,coel-1,8,33,82,121,9,2,2,3,11,41,24,21
WBGene00016867,C52B9.4,16,52,33,18,24,27,10,17,17,26,21,20
WBGene00016868,C52B9.8,7,27,18,12,8,6,2,4,10,10,10,8
WBGene00016869,C52B9.10,,,2,0.7,1,0.3,0.3,0.3,,1,1,0.4
WBGene00016870,ets-10,,,0.7,2,0.1,0.9,4,1,0.3,5,3,2
WBGene00016871,inso-1,29,62,36,41,28,12,7,5,8,18,16,19
WBGene00016872,dop-4,3,0.1,1,9,2,0.6,0.5,0.7,1,6,6,4
WBGene00016873,C52B11.4,,,,0.3,,,,,,,,
WBGene00016874,C52B11.5,0.2,5,2,4,4,10,13,15,4,3,2,3
WBGene00016875,C52D10.1,3,15,9,0.1,20,43,18,5,3,30,36,13
WBGene00016877,C52D10.3,3,14,9,0.1,13,28,16,7,3,30,27,12
WBGene00016879,C52D10.12,7,14,24,27,18,17,5,9,5,21,12,10
WBGene00016880,fbxb-95,14,0.3,0.6,,,,0.1,0.1,1,,,
WBGene00016881,C52E2.2,0.1,,,,,,,,,68,51,50
WBGene00016882,C52E2.3,2,0.1,0.4,0.1,,,0.1,,,,,
WBGene00016883,C52E2.4,1,5,5,28,2,2,2,2,0.7,2,4,3
WBGene00016884,C52E2.5,0.7,8,6,2,2,3,1,1,0.4,2,4,4
WBGene00016885,fbxb-97,5,,0.4,,,,0.6,2,2,,,
WBGene00016886,fbxb-96,12,0.7,1,,,,,,1,,,
WBGene00016888,C52E12.1,24,32,22,20,24,29,8,24,33,14,15,12
WBGene00016889,lst-6,16,32,36,45,20,13,4,18,19,22,22,20
WBGene00016890,lst-5,2,0.5,1,1,0.1,5,4,8,3,2,3,2
WBGene00016891,C53A3.1,5,0.1,0.6,0.2,,,0.3,0.2,0.3,,0.1,
WBGene00016892,C53A3.2,12,78,11,0.2,13,34,43,14,4,118,21,34
WBGene00016893,C53B7.2,,,0.1,0.7,0.3,2,11,14,72,0.2,0.2,0.1
WBGene00016894,C53B7.3,0.3,0.7,12,317,30,35,10,12,56,98,135,23
WBGene00016895,C53B7.6,,,,,,,,,0.3,,0.1,
WBGene00016896,nep-4,,,0.3,0.2,0.6,0.2,1,4,2,0.8,0.7,0.8
WBGene00016898,C53C9.2,1,0.1,50,86,99,83,35,16,16,89,87,74
WBGene00016899,C53C11.1,2,3,0.9,0.2,,,0.2,0.3,0.3,,,
WBGene00016900,C53C11.2,0.4,2,3,5,10,28,23,6,15,50,31,51
WBGene00016901,C53C11.4,0.1,,2,2,0.6,0.7,3,0.7,1,4,8,3
WBGene00016902,C53D5.1,11,21,21,22,13,9,5,13,16,16,11,9
WBGene00016903,4-Mar,5,26,39,54,5,3,2,1,1,17,12,9
WBGene00016904,C53D5.3,3,10,13,3,2,0.5,2,,1,8,5,5
WBGene00016905,ztf-3,18,14,13,10,5,5,3,6,8,5,5,4
WBGene00016906,C53D5.5,6,11,11,3,11,15,4,5,6,4,2,6
WBGene00016907,C53H9.2,29,51,35,115,58,74,23,81,69,55,119,135
WBGene00016909,frpr-4,0.4,0.1,2,7,2,2,0.9,0.7,0.3,5,5,2
WBGene00016910,C54A12.3,,,,3,,,,,,,0.1,
WBGene00016911,drn-1,1,,6,16,11,6,5,3,1,28,28,16
WBGene00016912,clec-86,,0.9,3,2,12,16,26,9,3,5,0.9,4
WBGene00016913,lam-2,95,212,80,24,48,38,16,11,17,12,10,9
WBGene00016914,C54D1.7,2,21,11,2,8,14,2,4,2,18,18,13
WBGene00016915,C54D2.1,0.4,,8,2,3,3,4,1,0.5,3,0.8,0.4
WBGene00016916,C54D2.2,,1,4,118,21,6,4,2,1,94,112,127
WBGene00016917,C54E4.1,3,0.4,2,3,0.7,0.3,0.3,0.2,0.7,2,2,1
WBGene00016918,C54E4.2,17,158,245,70,138,140,177,85,60,46,16,18
WBGene00016919,C54E4.4,0.8,8,7,16,13,6,2,2,1,6,6,5
WBGene00016920,C54E4.5,3,14,12,3,16,14,22,11,7,17,5,3
WBGene00016921,C54F6.3,0.1,0.7,7,1,3,2,4,0.3,,1,0.1,
WBGene00016922,swt-2,,3,3,0.5,,,,,,0.8,2,0.4
WBGene00016923,C54F6.5,0.4,,12,6,3,3,3,2,13,455,179,134
WBGene00016924,C54F6.6,,,0.7,1,4,2,2,2,0.5,91,61,72
WBGene00016925,srb-18,,,0.2,0.5,0.6,0.1,0.2,0.6,,0.3,1,0.4
